name,url,ww
Allen Institute for AI,https://allenai.org/blog,
Anthropic Blog,https://www.anthropic.com/news,
BAIR Blog (Berkeley),https://bair.berkeley.edu/blog,
Cohere Blog,https://txt.cohere.com,
HuggingFace Blog,https://huggingface.co/blog,
LangChain Blog,https://blog.langchain.com/rss,
Latent Space (Swyx),https://www.latent.space/feed,
LlamaIndex Blog,https://www.llamaindex.ai/blog/feed,
Microsoft Semantic Kernel,https://devblogs.microsoft.com/semantic-kernel,
Philipp Schmid,https://www.philschmid.de/rss,
Sebastian Raschka Substack,https://magazine.sebastianraschka.com/feed,
The Sequence,https://thesequence.substack.com/feed,
Together.ai Blog,https://www.together.ai/blog,
Vespa Blog,https://blog.vespa.ai/feed,
Weaviate Blog,https://weaviate.io/blog,
Zilliz / Milvus Blog,https://zilliz.com/blog,
The Bradient,https://thegradient.pub/rss,
